spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Divination,TRUE,divination,prediction,4,Action or Ritual,Self,"V, S, M (incense worth 25+ GP, which the spell consumes)",Instantaneous,"This spell puts you in contact with a god or a god's servants. You ask one question about a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply, which might be a short phrase or cryptic rhyme. The spell doesn't account for circumstances that might change the answer, such as the casting of other spells.\nIf you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.","Cleric, Druid, Wizard",Player's Handbook 2024
Divine Favor,FALSE,transmutation,"damage, radiant",1,Bonus Action,Self,"V, S",1 minute,"Until the spell ends, your attacks with weapons deal an extra 1d4 Radiant damage on a hit.",Paladin,Player's Handbook 2024
Divine Smite,FALSE,evocation,"damage, radiant",1,"Bonus Action, which you take immediately after hitting a target with a Melee weapon or an Unarmed Strike",Self,V,Instantaneous,The target takes an extra 2d8 Radiant damage from the attack. The damage increases by 1d8 if the target is a Fiend or an Undead.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.,Paladin,Player's Handbook 2024
Divine Word,FALSE,evocation,"control, debuff, banishment",7,Bonus Action,30 feet,V,Instantaneous,"You utter a word imbued with power from the Upper Planes. Each creature of your choice in range makes a Charisma saving throw. On a failed save, a target that has 50 Hit Points or fewer suffers an effect based on its current Hit Points, as shown in the Divine Word Effects table. Regardless of its Hit Points, a Celestial, an Elemental, a Fey, or a Fiend target that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to the current plane for 24 hours by any means short of a Wish spell.\n\nHit Points	Effect\n0–20	The target dies.\n21–30	The target has the Blinded, Deafened, and Stunned conditions for 1 hour.\n31–40	The target has the Blinded and Deafened conditions for 10 minutes.\n41–50	The target has the Deafened condition for 1 minute.",Cleric,Player's Handbook 2024
Dominate Beast,FALSE,enchantment,control,4,Action,60 feet,"V, S","Concentration, up to 1 minute","One Beast you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.\nYou have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.\nYou can command the target to take a Reaction but must take your own Reaction to do so.\nUsing a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours).","Druid, Ranger, Sorcerer",Player's Handbook 2024
Dominate Monster,FALSE,enchantment,control,8,Action,60 feet,"V, S","Concentration, up to 1 hour","One creature you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.\nYou have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.\nYou can command the target to take a Reaction but must take your own Reaction to do so.\nUsing a Higher-Level Spell Slot. Your Concentration can last longer with a level 9 spell slot (up to 8 hours).","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Dominate Person,FALSE,enchantment,control,5,Action,60 feet,"V, S","Concentration, up to 1 minute","One Humanoid you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.\nYou have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.\nYou can command the target to take a Reaction but must take your own Reaction to do so.\nUsing a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 6 (up to 10 minutes), 7 (up to 1 hour), or 8+ (up to 8 hours).","Bard, Sorcerer, Wizard",Player's Handbook 2024
Dragon's Breath,FALSE,transmutation,"buff, damage, acid, cold, fire, lightning, poison",2,Bonus Action,Touch,"V, S, M (a hot pepper)","Concentration, up to 1 minute","You touch one willing creature, and choose Acid, Cold, Fire, Lightning, or Poison. Until the spell ends, the target can take a Magic action to exhale a 15-foot Cone. Each creature in that area makes a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.","Sorcerer, Wizard",Player's Handbook 2024
Drawmij's Instant Summons,TRUE,conjuration,"scrying, detection, utility",6,1 minute or Ritual,Touch,"V, S, M (a sapphire worth 1,000+ GP)",Until dispelled,Unknown,Wizard,Player's Handbook 2024
Dream,FALSE,illusion,"communication, deception, social",5,1 minute,Special,"V, S, M (a handful of sand)",8 hours,"You target a creature you know on the same plane of existence. You or a willing creature you touch enters a trance state to act as a dream messenger. While in the trance, the messenger is Incapacitated and has a Speed of 0.\nIf the target is asleep, the messenger appears in the target's dreams and can converse with the target as long as it remains asleep, through the spell's duration. The messenger can also shape the dream's environment, creating landscapes, objects, and other images. The messenger can emerge from the trance at any time, ending the spell. The target recalls the dream perfectly upon waking.\nIf the target is awake when you cast the spell, the messenger knows it and can either end the trance (and the spell) or wait for the target to sleep, at which point the messenger enters its dreams.\nYou can make the messenger terrifying to the target. If you do so, the messenger can deliver a message of no more than ten words, and then the target makes a Wisdom saving throw. On a failed save, the target gains no benefit from its rest, and it takes 3d6 Psychic damage when it wakes up.","Bard, Warlock, Wizard",Player's Handbook 2024
Druidcraft,FALSE,transmutation,"creation, utility",0,Action,30 feet,"V, S",Instantaneous,"Weather Sensor. You create a Tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round.\nBloom. You instantly make a flower blossom, a seed pod open, or a leaf bud bloom.\nSensory Effect. You create a harmless sensory effect, such as falling leaves, spectral dancing fairies, a gentle breeze, the sound of an animal, or the faint odor of skunk. The effect must fit in a 5-foot Cube.\nFire Play. You light or snuff out a candle, a torch, or a campfire.",Druid,Player's Handbook 2024
Earthquake,FALSE,transmutation,"control, damage",8,Action,500 feet,"V, S, M (a fractured rock)","Concentration, up to 1 minute","Choose a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point. The ground there is Difficult Terrain.\nWhen you cast this spell and at the end of each of your turns for the duration, each creature on the ground in the area makes a Dexterity saving throw. On a failed save, a creature has the Prone condition, and its Concentration is broken.\nYou can also cause the effects below.\nFissures. A total of 1d6 fissures open in the spell's area at the end of the turn you cast it. You choose the fissures' locations, which can't be under structures. Each fissure is 1d10 x 10 feet deep and 10 feet wide, and it extends from one edge of the spell's area to another edge. A creature in the same space as a fissure must succeed on a Dexterity saving throw or fall in. A creature that successfully saves moves with the fissure's edge as it opens.\nStructures. The tremor deals 50 Bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses.\nA creature within a distance from a collapsing structure equal to half the structure's height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful save, the creature takes half as much damage only.","Cleric, Druid, Sorcerer",Player's Handbook 2024
Eldritch Blast,FALSE,evocation,"damage, force",0,Action,120 feet,"V, S",Instantaneous,"Your hurl a beam of crackling energy. Make a ranged spell attack against one creature or object in range. On a hit, the target takes 1d10 Force damage.\nCantrip Upgrade. The spell creates two beams at level 5, three beams at level 11, and four beams at level 17. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.",Warlock,Player's Handbook 2024
Elemental Weapon,FALSE,transmutation,"buff, damage, acid, cold, fire, lightning, thunder",3,Action,Touch,"V, S","Concentration, up to 1 hour",Unknown,"Druid, Paladin, Ranger",Player's Handbook 2024
Elementalism,FALSE,transmutation,"creation, utility",0,Action,30 feet,"V, S",Instantaneous,"You exert control over the elements, creating one of the following effects within range:\nBeckon Air. You create a breeze strong enough to ripple cloth, stir dust, rustle leaves, and close open doors and shutters, all in a 5-foot Cube. Doors and shutters being held open by someone or something aren't affected.\nBeckon Earth. You create a thin shroud of dust or sand that covers surfaces in a 5-foot-square area, or you cause a single word to appear in your handwriting in a patch of dirt or sand.\nBeckon Fire. You create a thin cloud of harmless embers and colored, scented smoke in a 5-foot Cube. You choose the color and scent, and the embers can light candles, torches, or lamps in that area. The smoke's scent lingers for 1 minute.\nBeckon Water. You create a spray of cool mist that lightly dampens creatures and objects in a 5-foot Cube. Alternatively, you create 1 cup of clean water either in an open container or on a surface, and the water evaporates in 1 minute.\nSculpt Element. You cause dirt, sand, fire, smoke, mist, or water that can fit in a 1-foot Cube to assume a crude shape (such as that of a creature or an object) for 1 hour.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Enhance Ability,FALSE,transmutation,buff,2,Action,Touch,"V, S, M (fur or a feather)","Concentration, up to 1 hour","You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target.","Bard, Cleric, Druid, Ranger, Sorcerer, Wizard",Player's Handbook 2024
Enlarge/Reduce,FALSE,transmutation,"buff, debuff",2,Action,30 feet,"V, S, M (a pinch of powdered iron)","Concentration, up to 1 minute","For the duration, the spell enlarges or reduces a creature or an object you can see within range (see the chosen effect below). A targeted object must be neither worn nor carried. If the target is an unwilling creature, it can make a Constitution saving throw. On a successful save, the spell has no effect.\nEverything that a targeted creature is wearing and carrying changes size with it. Any item it drops returns to normal size at once. A thrown weapon or piece of ammunition returns to normal size immediately after it hits or misses a target.\nEnlarge. The target's size increases by one category—from Medium to Large, for example. The target also has Advantage on Strength checks and Strength saving throws. The target's attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit.\nReduce. The target's size decreases by one category—from Medium to Small, for example. The target also has Disadvantage on Strength checks and Strength saving throws. The target's attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can't reduce the damage below 1).","Bard, Druid, Sorcerer, Wizard",Player's Handbook 2024
Ensnaring Strike,FALSE,conjuration,"control, damage, piercing",1,"Bonus Action, which you take immediately after hitting a creature with a weapon",Self,V,"Concentration, up to 1 minute","As you hit the target, grasping vines appear on it, and it makes a Strength saving throw. A Large or larger creature has Advantage on this save. On a failed save, the target has the Restrained condition until the spell ends. On a successful save, the vines shrivel away, and the spell ends.\nWhile Restrained, the target takes 1d6 Piercing damage at the start of each of its turns. The target or a creature within reach of it can take an action to make a Strength (Athletics) check against your spell save DC. On a success, the spell ends.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",Ranger,Player's Handbook 2024
Entangle,FALSE,conjuration,control,1,Action,90 feet,"V, S","Concentration, up to 1 minute","Grasping plants sprout from the ground in a 20-foot square within range. For the duration, these plants turn the ground in the area into Difficult Terrain. They disappear when the spell ends.\nEach creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength (Athletics) check against your spell save DC. On a success, it frees itself from the grasping plants and is no longer Restrained by them.","Druid, Ranger",Player's Handbook 2024
Enthrall,FALSE,enchantment,"control, debuff",2,Action,60 feet,"V, S","Concentration, up to 1 minute","You weave a distracting string of words, causing creatures of your choice that you can see within range to make a Wisdom saving throw. Any creature you or your companions are fighting automatically succeeds on this save. On a failed save, a target has a −10 penalty to Wisdom (Perception) checks and Passive Perception until the spell ends.","Bard, Warlock",Player's Handbook 2024
Etherealness,FALSE,conjuration,"buff, teleportation",7,Action,Self,"V, S",Up to 8 hours,"You step into the border regions of the Ethereal Plane, where it overlaps with your current plane. You remain in the Border Ethereal for the duration. During this time, you can move in any direction. If you move up or down, every foot of movement costs an extra foot. You can perceive the plane you left, which looks gray, and you can't see anything there more than 60 feet away.\nWhile on the Ethereal Plane, you can affect and be affected only by creatures, objects, and effects on that plane. Creatures that aren't on the Ethereal Plane can't perceive or interact with you unless a feature gives them the ability to do so.\nWhen the spell ends, you return to the plane you left in the spot that corresponds to your space in the Border Ethereal. If you appear in an occupied space, you are shunted to the nearest unoccupied space and take Force damage equal to twice the number of feet you are moved.\nThis spell ends instantly if you cast it while you are on the Ethereal Plane or a plane that doesn't border it, such as one of the Outer Planes.\nUsing a Higher-Level Spell Slot. You can target up to three willing creatures (including yourself) for each spell slot level above 7. The creatures must be within 10 feet of you when you cast the spell.","Bard, Cleric, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Evard's Black Tentacles,FALSE,conjuration,"control, damage, bludgeoning",4,Action,90 feet,"V, S, M (a tentacle)","Concentration, up to 1 minute",Unknown,Wizard,Player's Handbook 2024
Expeditious Retreat,FALSE,transmutation,buff,1,Bonus Action,Self,"V, S","Concentration, up to 10 minutes","You take the Dash action, and until the spell ends, you can take that action again as a Bonus Action.","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Eyebite,FALSE,necromancy,"control, debuff",6,Action,Self,"V, S","Concentration, up to 1 minute","For the duration, your eyes become an inky void. One creature of your choice within 60 feet of you that you can see must succeed on a Wisdom saving throw or be affected by one of the following effects of your choice for the duration.\nOn each of your turns until the spell ends, you can take a Magic action to target another creature but can't target a creature again if it has succeeded on a save against this casting of the spell.\nAsleep. The target has the Unconscious condition. It wakes up if it takes any damage or if another creature takes an action to shake it awake.\nPanicked. The target has the Frightened condition. On each of its turns, the Frightened target must take the Dash action and move away from you by the safest and shortest route available. If the target moves to a space at least 60 feet away from you where it can't see you, this effect ends.\nSickened. The target has the Poisoned condition.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Fabricate,FALSE,transmutation,creation,4,10 minutes,120 feet,"V, S",Instantaneous,"You convert raw materials into products of the same material. For example, you can fabricate a wooden bridge from a clump of trees, a rope from a patch of hemp, or clothes from flax or wool.\nChoose raw materials that you can see within range. You can fabricate a Large or smaller object (contained within a 10-foot Cube or eight connected 5-foot Cubes) given a sufficient quantity of material. If you're working with metal, stone, or another mineral substance, however, the fabricated object can be no larger than Medium (contained within a 5-foot Cube). The quality of any fabricated objects is based on the quality of the raw materials.\nCreatures and magic items can't be created by this spell. You also can't use it to create items that require a high degree of skill—such as weapons and armor—unless you have proficiency with the type of Artisan's Tools used to craft such objects.",Wizard,Player's Handbook 2024
Faerie Fire,FALSE,evocation,debuff,1,Action,60 feet,V,"Concentration, up to 1 minute","Objects in a 20-foot Cube within range are outlined in blue, green, or violet light (your choice). Each creature in the Cube is also outlined if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed Dim Light in a 10-foot radius and can't benefit from the Invisible condition.\nAttack rolls against an affected creature or object have Advantage if the attacker can see it.","Bard, Druid",Player's Handbook 2024
False Life,FALSE,necromancy,"buff, healing",1,Action,Self,"V, S, M (a drop of alcohol)",Instantaneous,You gain 2d4 + 4 Temporary Hit Points.\nUsing a Higher-Level Spell Slot. You gain 5 additional Temporary Hit Points for each spell slot level above 1.,"Sorcerer, Wizard",Player's Handbook 2024
Fear,FALSE,illusion,"control, debuff",3,Action,Self,"V, S, M (a white feather)","Concentration, up to 1 minute","Each creature in a 30-foot Cone must succeed on a Wisdom saving throw or drop whatever it is holding and have the Frightened condition for the duration.\nA Frightened creature takes the Dash action and moves away from you by the safest route on each of its turns unless there is nowhere to move. If the creature ends its turn in a space where it doesn't have line of sight to you, the creature makes a Wisdom saving throw. On a successful save, the spell ends on that creature.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Feather Fall,FALSE,transmutation,utility,1,"Reaction, which you take when you or a creature you can see within 60 feet of you falls",60 feet,"V, M (a small feather or piece of down)",1 minute,"Choose up to five falling creatures within range. A falling creature's rate of descent slows to 60 feet per round until the spell ends. If a creature lands before the spell ends, the creature takes no damage from the fall, and the spell ends for that creature.","Bard, Sorcerer, Wizard",Player's Handbook 2024
Feign Death,TRUE,necromancy,utility,3,Action or Ritual,Touch,"V, S, M (a pinch of graveyard dirt)",1 hour,Unknown,"Bard, Cleric, Druid, Wizard",Player's Handbook 2024
Find Familiar,TRUE,conjuration,"summoning, utility",1,1 hour or Ritual,10 feet,"V, S, M (burning incense worth 10+ GP, which the spell consumes)",Instantaneous,"You gain the service of a familiar, a spirit that takes an animal form you choose: Bat, Cat, Frog, Hawk, Lizard, Octopus, Owl, Rat, Raven, Spider, Weasel, or another Beast that has a Challenge Rating of 0. Appearing in an unoccupied space within range, the familiar has the statistics of the chosen form, though it is a Celestial, Fey, or Fiend (your choice) instead of a Beast. Your familiar acts independently of you, but it obeys your commands.\nTelepathic Connection. While your familiar is within 100 feet of you, you can communicate with it telepathically. Additionally, as a Bonus Action, you can see through the familiar's eyes and hear what it hears until the start of your next turn, gaining the benefits of any special senses it has.\nFinally, when you cast a spell with a range of touch, your familiar can deliver the touch. Your familiar must be within 100 feet of you, and it must take a Reaction to deliver the touch when you cast the spell.\nCombat. The familiar is an ally to you and your allies. It rolls its own Initiative and acts on its own turn. A familiar can't attack, but it can take other actions as normal.\nDisappearance of the Familiar. When the familiar drops to 0 Hit Points, it disappears. It reappears after you cast this spell again. As a Magic action, you can temporarily dismiss the familiar to a pocket dimension. Alternatively, you can dismiss it forever. As a Magic action while it is temporarily dismissed, you can cause it to reappear in an unoccupied space within 30 feet of you. Whenever the familiar drops to 0 Hit Points or disappears into the pocket dimension, it leaves behind in its space anything it was wearing or carrying.\nOne Familiar Only. You can't have more than one familiar at a time. If you cast this spell while you have a familiar, you instead cause it to adopt a new eligible form.",Wizard,Player's Handbook 2024
Find Steed,FALSE,conjuration,"summoning, utility",2,Action,30 feet,"V, S",Instantaneous,"You summon an otherworldly being that appears as a loyal steed in an unoccupied space of your choice within range. This creature uses the Otherworldly Steed stat block. If you already have a steed from this spell, the steed is replaced by the new one.\nThe steed resembles a Large, rideable animal of your choice, such as a horse, a camel, a dire wolf, or an elk. Whenever you cast the spell, choose the steed's creature type-Celestial, Fey, or Fiend which determines certain traits in the stat block.\nCombat. The steed is an ally to you and your allies. In combat, it shares your Initiative count, and it functions as a controlled mount while you ride it (as defined in the rules on mounted combat). If you have the Incapacitated condition, the steed takes its turn immediately after yours and acts independently, focusing on protecting you.\nDisappearance of the Steed. The steed disappears if it drops to 0 Hit Points or if you die. When it disappears, it leaves behind anything it was wearing or carrying. If you cast this spell again, you decide whether you summon the steed that disappeared or a different one.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.",Paladin,Player's Handbook 2024
Find the Path,FALSE,divination,"detection, exploration",6,1 minute,Self,"V, S, M (a set of divination tools-such as cards or runes-worth 100+ GP)","Concentration, up to 1 day","You magically sense the most direct physical route to a location you name. You must be familiar with the location, and the spell fails if you name a destination on another plane of existence, a moving destination (such as a mobile fortress), or an unspecific destination (such as “a green dragon's lair”).\nFor the duration, as long as you are on the same plane of existence as the destination, you know how far it is and in what direction it lies. Whenever you face a choice of paths along the way there, you know which path is the most direct.","Bard, Cleric, Druid",Player's Handbook 2024
Find Traps,FALSE,divination,"detection, exploration",2,Action,120 feet,"V, S",Instantaneous,"You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn't reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.\nThis spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense.","Cleric, Druid, Ranger",Player's Handbook 2024
Finger of Death,FALSE,necromancy,"damage, necrotic, creation",7,Action,60 feet,"V, S",Instantaneous,"You unleash negative energy toward a creature you can see within range. The target makes a Constitution saving throw, taking 7d8 + 30 Necrotic damage on a failed save or half as much damage on a successful one.\nA Humanoid killed by this spell rises at the start of your next turn as a Zombie that follows your verbal orders.","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Fire Bolt,FALSE,evocation,"damage, fire",0,Action,120 feet,"V, S",Instantaneous,"You hurl a mote of fire at a creature or an object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Fire damage. A flammable object hit by this spell starts burning if it isn't being worn or carried.\nCantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).","Sorcerer, Wizard",Player's Handbook 2024
Fire Shield,FALSE,evocation,"buff, defense, damage, fire",4,Action,Self,"V, S, M (a bit of phosphorus or a firefly)",10 minutes,"Wispy flames wreathe your body for the duration, shedding Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.\nThe flames provide you with a warm shield or a chill shield, as you choose. The warm shield grants you Resistance to Cold damage, and the chill shield grants you Resistance to Fire damage.\nIn addition, whenever a creature within 5 feet of you hits you with a melee attack roll, the shield erupts with flame. The attacker takes 2d8 Fire damage from a warm shield or 2d8 Cold damage from a chill shield.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Fire Storm,FALSE,evocation,"damage, fire",7,Action,150 feet,"V, S",Instantaneous,"A storm of fire appears within range. The area of the storm consists of up to ten 10-foot Cubes, which you arrange as you like. Each Cube must be contiguous with at least one other Cube. Each creature in the area makes a Dexterity saving throw, taking 7d10 Fire damage on a failed save or half as much damage on a successful one.\nFlammable objects in the area that aren't being worn or carried start burning.","Cleric, Druid, Sorcerer",Player's Handbook 2024
Fireball,FALSE,evocation,"damage, fire",3,Action,150 feet,"V, S, M (a ball of bat guano and sulfur)",Instantaneous,"A bright streak flashes from you to a point you choose within range and then blossoms with a low roar into a fiery explosion. Each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw, taking 8d6 Fire damage on a failed save or half as much damage on a successful one.\nFlammable objects in the area that aren't being worn or carried start burning.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.","Sorcerer, Wizard",Player's Handbook 2024
Flame Blade,FALSE,evocation,"damage, fire",2,Bonus Action,Self,"V, S, M (a sumac leaf)","Concentration, up to 10 minutes","You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. If you let go of the blade, it disappears, but you can evoke it again as a Bonus Action.\nAs a Magic action, you can make a melee spell attack with the fiery blade. On a hit, the target takes Fire damage equal to 3d6 plus your spellcasting ability modifier.\nThe flaming blade sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.","Druid, Sorcerer",Player's Handbook 2024
Flame Strike,FALSE,evocation,"damage, fire, radiant",5,Action,60 feet,"V, S, M (a pinch of sulfur)",Instantaneous,"A vertical column of brilliant fire roars down from above. Each creature in a 10-foot-radius, 40-foot-high Cylinder centered on a point within range makes a Dexterity saving throw, taking 5d6 Fire damage and 5d6 Radiant damage on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. The Fire damage and the Radiant damage increase by 1d6 for each spell slot level above 5.",Cleric,Player's Handbook 2024
Flaming Sphere,FALSE,conjuration,"damage, fire, control",2,Action,60 feet,"V, S, M (a ball of wax)","Concentration, up to 1 minute","You create a 5-foot-diameter sphere of fire in an unoccupied space on the ground within range. It lasts for the duration. Any creature that ends its turn within 5 feet of the sphere makes a Dexterity saving throw, taking 2d6 Fire damage on a failed save or half as much damage on a successful one.\nAs a Bonus Action, you can move the sphere up to 30 feet, rolling it along the ground. If you move the sphere into a creature's space, that creature makes the save against the sphere, and the sphere stops moving for the turn.\nWhen you move the sphere, you can direct it over barriers up to 5 feet tall and jump it across pits up to 10 feet wide. Flammable objects that aren't being worn or carried start burning if touched by the sphere, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Flesh to Stone,FALSE,transmutation,"control, debuff",6,Action,60 feet,"V, S, M (a cockatrice feather)","Concentration, up to 1 minute","You attempt to turn one creature that you can see within range into stone. The target makes a Constitution saving throw. On a failed save, it has the Restrained condition for the duration. On a successful save, its Speed is 0 until the start of your next turn. Constructs automatically succeed on the save.\nA Restrained target makes another Constitution saving throw at the end of each of its turns. If it successfully saves against this spell three times, the spell ends. If it fails its saves three times, it is turned to stone and has the Petrified condition for the duration. The successes and failures needn't be consecutive; keep track of both until the target collects three of a kind.\nIf you maintain your Concentration on this spell for the entire possible duration, the target is Petrified until the condition is ended by Greater Restoration or similar magic.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Fly,FALSE,transmutation,"buff, utility",3,Action,Touch,"V, S, M (a feather)","Concentration, up to 10 minutes","You touch a willing creature. For the duration, the target gains a Fly Speed of 60 feet and can hover. When the spell ends, the target falls if it is still aloft unless it can stop the fall.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3.","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Fog Cloud,FALSE,conjuration,"utility, stealth",1,Action,120 feet,"V, S","Concentration, up to 1 hour",You create a 20-foot-radius Sphere of fog centered on a point within range. The Sphere is Heavily Obscured. It lasts for the duration or until a strong wind (such as one created by Gust of Wind) disperses it.\nUsing a Higher-Level Spell Slot. The fog's radius increases by 20 feet for each spell slot level above 1.,"Druid, Ranger, Sorcerer, Wizard",Player's Handbook 2024
Forbiddance,TRUE,abjuration,"warding, control",6,10 minutes or Ritual,Touch,"V, S, M (ruby dust worth 1,000+ GP)",1 day,"You create a ward against magical travel that protects up to 40,000 square feet of floor space to a height of 30 feet above the floor. For the duration, creatures can't teleport into the area or use portals, such as those created by the Gate spell, to enter the area. The spell proofs the area against planar travel, and therefore prevents creatures from accessing the area by way of the Astral Plane, the Ethereal Plane, the Feywild, the Shadowfell, or the Plane Shift spell.\nIn addition, the spell damages types of creatures that you choose when you cast it. Choose one or more of the following: Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. When a creature of a chosen type enters the spell's area for the first time on a turn or ends its turn there, the creature takes 5d10 Radiant or Necrotic damage (your choice when you cast this spell).\nYou can designate a password when you cast the spell. A creature that speaks the password as it enters the area takes no damage from the spell.\nThe spell's area can't overlap with the area of another Forbiddance spell. If you cast Forbiddance every day for 30 days in the same location, the spell lasts until it is dispelled, and the Material components are consumed on the last casting.",Cleric,Player's Handbook 2024
Forcecage,FALSE,evocation,"warding, control",7,Action,100 feet,"V, S, M (ruby dust worth 1,500+ GP, which the spell consumes)",1 hour,"An immobile, Invisible, Cube-shaped prison composed of magical force springs into existence around an area you choose within range. The prison can be a cage or a solid box, as you choose.\nA prison in the shape of a cage can be up to 20 feet on a side and is made from 1/2-inch diameter bars spaced 1/2 inch apart. A prison in the shape of a box can be up to 10 feet on a side, creating a solid barrier that prevents any matter from passing through it and blocking any spells cast into or out from the area.\nWhen you cast the spell, any creature that is completely inside the cage's area is trapped. Creatures only partially within the area, or those too large to fit inside it, are pushed away from the center of the area until they are completely outside it.\nA creature inside the cage can't leave it by nonmagical means. If the creature tries to use teleportation or interplanar travel to leave, it must first make a Charisma saving throw. On a successful save, the creature can use that magic to exit the cage. On a failed save, the creature doesn't exit the cage and wastes the spell or effect. The cage also extends into the Ethereal Plane, blocking ethereal travel.\nThis spell can't be dispelled by Dispel Magic.","Bard, Warlock, Wizard",Player's Handbook 2024
